Matrix size;Block size;Algorithm;Time(s)
2;-;row;0.000003
2;-;col;0.000003
2;1;zor;0.000003
2;2;zor;0.000004
4;-;row;0.000003
4;-;col;0.000003
4;1;zor;0.000005
4;2;zor;0.000004
4;4;zor;0.000004
8;-;row;0.000011
8;-;col;0.000009
8;1;zor;0.000017
8;2;zor;0.000011
8;4;zor;0.000010
8;8;zor;0.000009
16;-;row;0.000035
16;-;col;0.000033
16;1;zor;0.000081
16;2;zor;0.000050
16;4;zor;0.000042
16;8;zor;0.000037
16;16;zor;0.000036
32;-;row;0.000171
32;-;col;0.000159
32;1;zor;0.000389
32;2;zor;0.000250
32;4;zor;0.000199
32;8;zor;0.000182
32;16;zor;0.000174
32;32;zor;0.000179
64;-;row;0.001331
64;-;col;0.001273
64;1;zor;0.003063
64;2;zor;0.001926
64;4;zor;0.001586
64;8;zor;0.001442
64;16;zor;0.001404
64;32;zor;0.001444
64;64;zor;0.001359
128;-;row;0.011134
128;-;col;0.010605
128;1;zor;0.024916
128;2;zor;0.015601
128;4;zor;0.013033
128;8;zor;0.011793
128;16;zor;0.011630
128;32;zor;0.011993
128;64;zor;0.011169
128;128;zor;0.011547
256;-;row;0.091112
256;-;col;0.087276
256;1;zor;0.208442
256;2;zor;0.129388
256;4;zor;0.106015
256;8;zor;0.094951
256;16;zor;0.093267
256;32;zor;0.095073
256;64;zor;0.089111
256;128;zor;0.092002
256;256;zor;0.095783
398;-;row;0.393880
398;-;col;0.391353
398;1;zor;0.831389
398;2;zor;0.489557
398;199;zor;0.377777
398;398;zor;0.421511
512;-;row;0.911265
512;-;col;0.874551
512;1;zor;1.838321
512;2;zor;1.111123
512;4;zor;0.873843
512;8;zor;0.776069
512;16;zor;0.742796
512;32;zor;0.768213
512;64;zor;0.735135
512;128;zor;0.765749
512;256;zor;0.819867
512;512;zor;0.949555
636;-;row;1.818806
636;-;col;1.723536
636;1;zor;3.604833
636;2;zor;2.156586
636;3;zor;1.754017
636;4;zor;1.700991
636;6;zor;1.555239
636;12;zor;1.488763
636;53;zor;1.575238
636;106;zor;1.740068
636;159;zor;1.841704
636;212;zor;1.834420
636;318;zor;1.829700
636;636;zor;1.929851
774;-;row;3.735147
774;-;col;3.391726
774;1;zor;7.797452
774;2;zor;4.428225
774;3;zor;3.537114
774;6;zor;3.153789
774;9;zor;3.095721
774;18;zor;3.075234
774;43;zor;2.765596
774;86;zor;2.997260
774;129;zor;3.175343
774;258;zor;3.168855
774;387;zor;3.233056
774;774;zor;3.831866
892;-;row;5.677531
892;-;col;5.250059
892;1;zor;11.273552
892;2;zor;6.991895
892;4;zor;5.355032
892;223;zor;5.670196
892;446;zor;5.673599
892;892;zor;5.936764
1024;-;row;10.404671
1024;-;col;8.025808
1024;1;zor;19.545945
1024;2;zor;9.592485
1024;4;zor;7.701441
1024;8;zor;6.699801
1024;16;zor;6.522343
1024;32;zor;6.831226
1024;64;zor;6.927357
1024;128;zor;7.505390
1024;256;zor;7.477571
1024;512;zor;8.909611
1024;1024;zor;11.161211
1152;-;row;13.267393
1152;-;col;10.981601
1152;1;zor;24.974399
1152;2;zor;14.167767
1152;3;zor;11.539784
1152;4;zor;11.289499
1152;6;zor;10.162801
1152;8;zor;9.756557
1152;9;zor;9.880202
1152;12;zor;9.499022
1152;16;zor;9.306729
1152;18;zor;9.869704
1152;24;zor;9.104957
1152;32;zor;9.463931
1152;36;zor;9.120062
1152;48;zor;9.095548
1152;64;zor;9.628719
1152;72;zor;9.956993
1152;96;zor;10.298771
1152;128;zor;10.243698
1152;144;zor;10.249201
1152;192;zor;10.281265
1152;288;zor;10.433472
1152;384;zor;10.911514
1152;576;zor;12.924209
1152;1152;zor;13.961793
1280;-;row;21.559760
1280;-;col;15.820605
1280;1;zor;38.245730
1280;2;zor;21.300560
1280;4;zor;16.931185
1280;5;zor;15.648450
1280;8;zor;14.151108
1280;10;zor;14.015887
1280;16;zor;13.177257
1280;20;zor;12.993234
1280;32;zor;13.413535
1280;40;zor;12.775152
1280;64;zor;13.608647
1280;80;zor;14.587691
1280;128;zor;14.484156
1280;160;zor;14.498366
1280;256;zor;14.577011
1280;320;zor;14.721925
1280;640;zor;18.163934
1280;1280;zor;23.231722
1408;-;row;40.990725
1408;-;col;26.647554
1408;1;zor;64.223863
1408;2;zor;34.325774
1408;4;zor;24.802750
1408;8;zor;20.285343
1408;11;zor;19.895167
1408;16;zor;18.860434
1408;22;zor;18.661987
1408;32;zor;19.051932
1408;44;zor;18.046668
1408;64;zor;19.097876
1408;88;zor;20.250689
1408;128;zor;20.375524
1408;176;zor;20.384174
1408;352;zor;20.910154
1408;704;zor;26.075367
1408;1408;zor;42.579378
1536;-;row;45.463696
1536;-;col;32.380797
1536;1;zor;73.053954
1536;2;zor;39.716561
1536;3;zor;30.421171
1536;4;zor;28.280324
1536;6;zor;24.911979
1536;8;zor;23.495703
1536;12;zor;22.521877
1536;16;zor;21.688557
1536;24;zor;20.948448
1536;32;zor;21.453708
1536;48;zor;20.684131
1536;64;zor;21.644450
1536;96;zor;23.282118
1536;128;zor;23.203525
1536;192;zor;23.151858
1536;256;zor;23.267410
1536;384;zor;23.594184
1536;512;zor;27.935426
1536;768;zor;29.790516
1536;1536;zor;46.900136

Total execution time: 64468.768295 seconds
Iterations: 32
Benchmark completed.
