Matrix size;Block size;Phase;Row-major order (s);Column-major order (s);Z order (s)
2;1;1;0.000005;0.000005;0.000015
2;2;1;0.000005;0.000005;0.000007
4;1;1;0.000019;0.000018;0.000096
4;2;1;0.000019;0.000018;0.000043
4;4;1;0.000019;0.000018;0.000024
8;1;1;0.000114;0.000113;0.000728
8;2;1;0.000114;0.000113;0.000290
8;4;1;0.000114;0.000113;0.000172
8;8;1;0.000114;0.000113;0.000131
16;1;1;0.000780;0.000797;0.005356
16;2;1;0.000780;0.000797;0.002109
16;4;1;0.000780;0.000797;0.001247
16;8;1;0.000780;0.000797;0.000967
16;16;1;0.000780;0.000797;0.000875
32;1;1;0.006085;0.006116;0.041595
32;2;1;0.006085;0.006116;0.017013
32;4;1;0.006085;0.006116;0.010241
32;8;1;0.006085;0.006116;0.007968
32;16;1;0.006085;0.006116;0.006820
32;32;1;0.006085;0.006116;0.006376
64;1;1;0.046619;0.046878;0.328999
64;2;1;0.046619;0.046878;0.132254
64;4;1;0.046619;0.046878;0.080910
64;8;1;0.046619;0.046878;0.059931
64;16;1;0.046619;0.046878;0.052424
64;32;1;0.046619;0.046878;0.050414
64;64;1;0.046619;0.046878;0.047778
128;1;1;0.363829;0.369213;2.556172
128;2;1;0.363829;0.369213;1.023606
128;4;1;0.363829;0.369213;0.626177
128;8;1;0.363829;0.369213;0.469181
128;16;1;0.363829;0.369213;0.420465
128;32;1;0.363829;0.369213;0.393018
128;64;1;0.363829;0.369213;0.383627
128;128;1;0.363829;0.369213;0.362896
256;1;1;2.933288;2.948093;20.769128
256;2;1;2.933288;2.948093;8.365172
256;4;1;2.933288;2.948093;5.152102
256;8;1;2.933288;2.948093;3.975671
256;16;1;2.933288;2.948093;3.494464
256;32;1;2.933288;2.948093;3.241240
256;64;1;2.933288;2.948093;3.133451
256;128;1;2.933288;2.948093;3.078179
256;256;1;2.933288;2.948093;3.007014
512;1;1;27.198958;25.990449;181.203269
512;2;1;27.198958;25.990449;73.871071
512;4;1;27.198958;25.990449;44.174787
512;8;1;27.198958;25.990449;33.775375
512;16;1;27.198958;25.990449;29.717721
512;32;1;27.198958;25.990449;27.344029
512;64;1;27.198958;25.990449;26.586173
512;128;1;27.198958;25.990449;27.102443
512;256;1;27.198958;25.990449;26.984941
512;512;1;27.198958;25.990449;27.670320
1024;1;1;200.909463;192.439038;1390.759021
1024;2;1;200.909463;192.439038;552.280408
1024;4;1;200.909463;192.439038;334.349319
1024;8;1;200.909463;192.439038;258.673975
1024;16;1;200.909463;192.439038;224.814676
1024;32;1;200.909463;192.439038;209.910429
1024;64;1;200.909463;192.439038;202.738721
1024;128;1;200.909463;192.439038;198.582589
1024;256;1;200.909463;192.439038;194.097949
1024;512;1;200.909463;192.439038;193.267807
1024;1024;1;200.909463;192.439038;199.665607

Total execution time: 39997.174473 seconds

Iterations: 8
Benchmark completed.
