Matrix size;Block size;Phase;Algorithm;Time(s)
2;-;2;row;0.000108
2;-;2;col;0.000080
2;1;2;zor;0.000081
2;2;2;zor;0.000080
4;-;2;row;0.000164
4;-;2;col;0.000136
4;1;2;zor;0.000127
4;2;2;zor;0.000124
4;4;2;zor;0.000123
8;-;2;row;0.000247
8;-;2;col;0.000250
8;1;2;zor;0.000240
8;2;2;zor;0.000240
8;4;2;zor;0.000222
8;8;2;zor;0.000221
16;-;2;row;0.000574
16;-;2;col;0.000584
16;1;2;zor;0.000638
16;2;2;zor;0.000606
16;4;2;zor;0.000597
16;8;2;zor;0.000563
16;16;2;zor;0.000560
32;-;2;row;0.002297
32;-;2;col;0.002247
32;1;2;zor;0.002483
32;2;2;zor;0.002295
32;4;2;zor;0.002328
32;8;2;zor;0.002327
32;16;2;zor;0.002373
32;32;2;zor;0.002388
64;-;2;row;0.010069
64;-;2;col;0.010568
64;1;2;zor;0.011699
64;2;2;zor;0.010714
64;4;2;zor;0.010487
64;8;2;zor;0.010525
64;16;2;zor;0.010230
64;32;2;zor;0.010279
64;64;2;zor;0.010094
128;-;2;row;0.044286
128;-;2;col;0.044239
128;1;2;zor;0.055903
128;2;2;zor;0.048384
128;4;2;zor;0.045235
128;8;2;zor;0.045028
128;16;2;zor;0.044501
128;32;2;zor;0.045132
128;64;2;zor;0.045452
128;128;2;zor;0.045152
256;-;2;row;0.220849
256;-;2;col;0.218400
256;1;2;zor;0.319815
256;2;2;zor;0.242994
256;4;2;zor;0.228432
256;8;2;zor;0.225731
256;16;2;zor;0.232768
256;32;2;zor;0.231111
256;64;2;zor;0.224189
256;128;2;zor;0.218490
256;256;2;zor;0.222134
398;-;2;row;0.703530
398;-;2;col;0.708568
398;1;2;zor;1.094462
398;2;2;zor;0.770719
398;199;2;zor;0.686298
398;398;2;zor;0.725449
512;-;2;row;1.432254
512;-;2;col;1.400116
512;1;2;zor;2.271873
512;2;2;zor;1.605558
512;4;2;zor;1.423109
512;8;2;zor;1.348455
512;16;2;zor;1.319832
512;32;2;zor;1.318700
512;64;2;zor;1.269783
512;128;2;zor;1.326370
512;256;2;zor;1.384777
512;512;2;zor;1.492563
636;-;2;row;2.671794
636;-;2;col;2.609882
636;1;2;zor;4.315436
636;2;2;zor;2.915127
636;3;2;zor;2.582892
636;4;2;zor;2.549020
636;6;2;zor;2.396210
636;12;2;zor;2.313709
636;53;2;zor;2.434112
636;106;2;zor;2.593690
636;159;2;zor;2.691054
636;212;2;zor;2.683866
636;318;2;zor;2.698749
636;636;2;zor;2.784819
774;-;2;row;4.620579
774;-;2;col;4.460339
774;1;2;zor;7.753326
774;2;2;zor;5.112379
774;3;2;zor;4.384717
774;6;2;zor;4.058253
774;9;2;zor;4.008101
774;18;2;zor;4.135783
774;43;2;zor;3.800967
774;86;2;zor;4.024360
774;129;2;zor;4.177881
774;258;2;zor;4.191382
774;387;2;zor;4.349541
774;774;2;zor;4.748439
892;-;2;row;6.753538
892;-;2;col;6.553215
892;1;2;zor;11.438567
892;2;2;zor;7.544525
892;4;2;zor;6.482670
892;223;2;zor;6.748241
892;446;2;zor;6.867570
